課綱,跨部,跨系,已選,停修,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,期程,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,跨就微PBL,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,,,2539205,GQ392E,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,陳宏銘,3-78.,教學302,,,,,法學院得不選修,,通識中心,60,60,2,2,451,國語,,0
◎,,,,,2539301,GQ393A,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,陳德義,1-EF.,教學302,,,,,法學院得不選修,,通識中心,60,61,2,2,917,國語,,0
◎,,,,,2539302,GQ393B,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,陳進郁,4-56.,教學615,,,,,法學院得不選修,,通識中心,60,60,2,2,679,國語,,0
◎,,,,,2539303,GQ393C,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,陳進郁,4-78.,教學615,,,,,法學院得不選修,,通識中心,60,61,2,2,661,國語,,0
◎,,,,,2539304,GQ393D,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,張藏文,1-56.,懷恩106,,,,,法學院得不選修,創:PBL課程,通識中心,60,60,2,2,494,國語,,0
◎,,,,,2539305,GQ393E,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,張藏文,1-78.,懷恩207,,,,,法學院得不選修,創:PBL課程,通識中心,60,60,2,2,513,國語,,0
◎,,,,,2539401,GQ394A,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,施少棠,5-78.,教學605,,,,,法學院得不選修,"跨:人文素養,就:領導服務學程",通識中心,95,95,2,2,758,國語,,0
◎,,,,,2539402,GQ394B,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,施少棠,5-CD.,教學605,,,,,法學院得不選修,"跨:人文素養,就:領導服務學程",通識中心,95,93,2,2,568,國語,,0
◎,,,,,2539403,GQ394C,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,陳宏銘,1-78.,教學618,,,,,法學院得不選修,"跨:人文素養,就:領導服務學程",通識中心,60,59,2,2,480,國語,,0
◎,,,,,2539404,GQ394D,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,陳宏銘,2-34.,懷恩201,,,,,法學院得不選修,"跨:人文素養,就:領導服務學程",通識中心,60,59,2,2,469,國語,,0
◎,,,,,2539405,GQ394E,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,彭鳳貞,4-78.,教學508,,,,,法學院得不選修,"跨:人文素養,就:領導服務學程",通識中心,60,60,2,2,467,國語,,0
◎,,,,,2539406,GQ394F,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,彭鳳貞,4-56.,教學508,,,,,僑外生專班，非此身份選課承辦人得逕行刪課；法學院得不選修,跨:人文素養,通識中心,60,60,2,2,202,國語,,0
◎,,,,,2539407,GQ394G,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,施少棠,5-56.,教學605,,,,,法學院得不選修,,通識中心,60,60,2,2,207,國語,,0
◎,,,,,2539501,GQ395A,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,何彩滿,2-34.,教學618,,,,,法學院得不選修,跨:人文素養,通識中心,60,61,2,2,590,國語,,0
◎,,,,,2539502,GQ395B,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,何彩滿,2-78.,教學618,,,,,法學院得不選修,跨:人文素養,通識中心,60,60,2,2,798,國語,,0
◎,,,,,2539503,GQ395C,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,黃國清,2-34.,教學517,,,,,法學院得不選修,跨:人文素養,通識中心,60,60,2,2,435,國語,,0
